,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,3729.0,0.0,19.0,0.0,312.56040410512117,312.56040410512117,7.780458016015576,7091.19510643657,7091.19510643657,25.67779696282782
1,1.0,3729.0,0.0,19.0,0.0,18.857157976242956,312.56040410512117,1.752979873080344,117.91403689343798,7091.19510643657,3.1541089966087443
2,2.0,3729.0,0.0,19.0,0.0,9.692925996796912,312.56040410512117,1.2152833245044186,41.27080587266004,7091.19510643657,1.8531637790214064
3,3.0,3729.0,0.0,19.0,0.0,8.118944573260999,312.56040410512117,1.1262053822107752,27.5144625665475,7091.19510643657,1.6365303853751212
4,4.0,3729.0,0.0,19.0,0.0,7.934068199149326,312.56040410512117,1.1158008029132112,26.616844931844085,7091.19510643657,1.6075601748722927
5,5.0,3729.0,0.0,19.0,0.0,7.833703429429497,312.56040410512117,1.1093241098499231,25.956977854408063,7091.19510643657,1.5922630689570156
6,6.0,3729.0,0.0,19.0,0.0,7.806301724819585,312.56040410512117,1.1075953792257103,25.812838640118756,7091.19510643657,1.5878697620536568
7,7.0,3729.0,0.0,19.0,0.0,7.792301712204756,312.56040410512117,1.1066068366290491,25.73568986872118,7091.19510643657,1.5855861174704413
8,8.0,3729.0,0.0,19.0,0.0,7.786605959171482,312.56040410512117,1.1062049262454385,25.707107471405116,7091.19510643657,1.584632457854316
9,9.0,3729.0,0.0,19.0,0.0,7.783662388960075,312.56040410512117,1.1059810384537783,25.69278968905735,7091.19510643657,1.584127207590472
10,10.0,3729.0,0.0,19.0,0.0,7.782194122443064,312.56040410512117,1.1058669724835433,25.686061736132647,7091.19510643657,1.583869954694279
11,11.0,3729.0,0.0,19.0,0.0,7.78138123761863,312.56040410512117,1.1058009153710024,25.68249775369457,7091.19510643657,1.5837246337317206
12,12.0,3729.0,0.0,19.0,0.0,7.780922703363357,312.56040410512117,1.1057630761809865,25.680567527203955,7091.19510643657,1.5836414913142352
13,13.0,3729.0,0.0,19.0,0.0,7.780650658136697,312.56040410512117,1.1057404135849214,25.679452978928353,7091.19510643657,1.583591619757279
14,14.0,3729.0,0.0,19.0,0.0,7.780486118838857,312.56040410512117,1.1057269514034025,25.67878689161217,7091.19510643657,1.5835612886376687
