,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,3729.0,0.0,19.0,0.0,317.00575704794903,317.00575704794903,8.091623810152582,7095.01604854405,7095.01604854405,25.914801831709177
1,1.0,3393.0,162.0,174.0,19.0,20.34643121273486,318.1118844542745,2.049362883355171,120.24758922783383,7112.894632341021,3.476269717372153
2,2.0,1508.0,586.0,1461.0,193.0,10.301048220123912,318.0307425323325,1.3700163740785372,42.6133070072575,6815.7774600905905,1.9866267745595765
3,3.0,245.0,247.0,1602.0,1654.0,8.432944324612217,304.211182652306,1.2420058748639478,27.81671304961876,6598.901669672393,1.7124495902194594
4,4.0,70.0,165.0,257.0,3256.0,8.268997048180287,299.795238848615,1.2113303499679666,27.30769816733993,6584.929580522216,1.6807483870411437
5,5.0,59.0,160.0,16.0,3513.0,8.192286274219084,299.6078885186126,1.213324344312,26.658904956892698,6584.654908246049,1.6710854882884063
6,6.0,58.0,160.0,1.0,3529.0,8.214890365745884,299.58026784223085,1.2184521672976527,26.72758790431829,6584.452093065595,1.6748947796509341
7,7.0,58.0,160.0,0.0,3530.0,8.208380584935865,299.58026784223085,1.2186001446071488,26.663587511159157,6584.452093065595,1.6739790045989398
8,8.0,58.0,160.0,0.0,3530.0,8.18946000197454,299.58026784223085,1.2160854920111872,26.58975608899962,6584.452093065595,1.670125743900129
9,9.0,58.0,160.0,0.0,3530.0,8.162688467233188,299.58026784223085,1.2127809658205593,26.486869591164073,6584.452093065595,1.6648645596521197
10,10.0,58.0,160.0,0.0,3530.0,8.133765294608974,299.58026784223085,1.2093928634629811,26.37461177412165,6584.452093065595,1.6592631839581926
11,11.0,58.0,160.0,0.0,3530.0,8.104543841398947,299.58026784223085,1.2061689887833855,26.258429392918917,6584.452093065595,1.6536901532514465
12,12.0,58.0,160.0,0.0,3530.0,8.076477514199869,299.58026784223085,1.2032531693787105,26.1436640635766,6584.452093065595,1.648413334870785
13,13.0,58.0,160.0,0.0,3530.0,8.050198878755415,299.58026784223085,1.2006930725726475,26.032984086337382,6584.452093065595,1.6435426566316007
14,14.0,58.0,160.0,0.0,3530.0,8.026065557663237,299.58026784223085,1.1985052182347244,25.928073661733958,6584.452093065595,1.639136076368506
