,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,4018.0,0.0,21.0,0.0,334.98180937563,334.98180937563,9.31693323914308,7525.2609213467995,7525.2609213467995,29.453545681505634
1,1.0,4018.0,0.0,21.0,0.0,20.935215205884667,334.98180937563,3.2036400855853113,87.88062834073558,7525.2609213467995,3.9116550661740535
2,2.0,4018.0,0.0,21.0,0.0,13.667076846447102,334.98180937563,2.125714255455582,45.57289055458774,7525.2609213467995,2.7029674354210877
3,3.0,4018.0,0.0,21.0,0.0,11.498751180966199,334.98180937563,1.9087695092092463,33.58421160563115,7525.2609213467995,2.3394136254391023
4,4.0,4018.0,0.0,21.0,0.0,10.953110621362068,334.98180937563,1.7765746728423544,32.56666694667207,7525.2609213467995,2.22613984823939
5,5.0,4018.0,0.0,21.0,0.0,10.573367008851887,334.98180937563,1.699465986259084,31.546631928221093,7525.2609213467995,2.15033048974607
6,6.0,4018.0,0.0,21.0,0.0,10.344173458757723,334.98180937563,1.6429618089211457,31.117747630631005,7525.2609213467995,2.102227971103628
7,7.0,4018.0,0.0,21.0,0.0,10.174496363822865,334.98180937563,1.6009381743637607,30.802202108464027,7525.2609213467995,2.066564580226892
8,8.0,4018.0,0.0,21.0,0.0,10.046158789758834,334.98180937563,1.5677399322354213,30.58671084043096,7525.2609213467995,2.039295092048736
9,9.0,4018.0,0.0,21.0,0.0,9.943941683739991,334.98180937563,1.5409637514952628,30.42062579710755,7525.2609213467995,2.0175127912929542
10,10.0,4018.0,0.0,21.0,0.0,9.860662833070382,334.98180937563,1.518865445036902,30.289956324922397,7525.2609213467995,1.9997128974422638
11,11.0,4018.0,0.0,21.0,0.0,9.79140144819204,334.98180937563,1.5003708605793349,30.183333243998188,7525.2609213467995,1.9848884679467962
12,12.0,4018.0,0.0,21.0,0.0,9.733007671299713,334.98180937563,1.4847081164657887,30.0947403644398,7525.2609213467995,1.972377329578101
13,13.0,4018.0,0.0,21.0,0.0,9.683238116911694,334.98180937563,1.4713267282275793,30.01993216694662,7525.2609213467995,1.9617077825602
14,14.0,4018.0,0.0,21.0,0.0,9.640466556009788,334.98180937563,1.4598127543894557,29.956053652648766,7525.2609213467995,1.9525349567367283
