,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,4018.0,0.0,21.0,0.0,331.4821878839449,331.4821878839449,6.20937263615184,14416.08601464827,14416.08601464827,19.94712034856089
1,1.0,4018.0,0.0,21.0,0.0,21.954000432401912,331.4821878839449,3.56391969647239,165.64116058449855,14416.08601464827,3.323190118322637
2,2.0,4018.0,0.0,21.0,0.0,10.819114010152342,331.4821878839449,2.3726446361013322,46.76721741579128,14416.08601464827,1.827857055321963
3,3.0,4018.0,0.0,21.0,0.0,8.422276549905948,331.4821878839449,2.2599595033645032,25.08121998116702,14416.08601464827,1.482353451804842
4,4.0,4018.0,0.0,21.0,0.0,7.86564664896955,331.4821878839449,2.149277572528283,23.551932292293156,14416.08601464827,1.3805133753344354
5,5.0,4018.0,0.0,21.0,0.0,7.465475373016744,331.4821878839449,2.0908705708110062,21.83324701314389,14416.08601464827,1.3093975632760828
6,6.0,4018.0,0.0,21.0,0.0,7.257620578098848,331.4821878839449,2.0445101456039096,21.314045977334242,14416.08601464827,1.2697064847904982
7,7.0,4018.0,0.0,21.0,0.0,7.103828198630561,331.4821878839449,2.0083796315604086,20.90854486986619,14416.08601464827,1.2408763505129354
8,8.0,4018.0,0.0,21.0,0.0,6.996472133722862,331.4821878839449,1.9782277789381841,20.686526877767566,14416.08601464827,1.2206982828655788
9,9.0,4018.0,0.0,21.0,0.0,6.912577793654078,331.4821878839449,1.952047135130889,20.525505990450608,14416.08601464827,1.2053173111339421
10,10.0,4018.0,0.0,21.0,0.0,6.8463494289372395,331.4821878839449,1.9288363646863464,20.415237814861595,14416.08601464827,1.1934741904069313
11,11.0,4018.0,0.0,21.0,0.0,6.791646509292587,331.4821878839449,1.907776443616337,20.33260334493952,14416.08601464827,1.1840189362687685
12,12.0,4018.0,0.0,21.0,0.0,6.74562376017513,331.4821878839449,1.8884517851705926,20.27026080683128,14416.08601464827,1.1763460035751803
13,13.0,4018.0,0.0,21.0,0.0,6.70598417420352,331.4821878839449,1.8705177806090314,20.221447089178323,14416.08601464827,1.1699890823139198
14,14.0,4018.0,0.0,21.0,0.0,6.671323833844253,331.4821878839449,1.8537650389865854,20.182635780419925,14416.08601464827,1.1646455930798074
