,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,2955.0,0.0,15.0,0.0,247.95605179766906,247.95605179766906,3.5141800615937484,8223.70476917178,8223.70476917178,14.518046041853513
1,1.0,2556.0,179.0,220.0,15.0,9.36665032772997,250.26181420840706,0.7222337362047072,94.34579736534225,8372.543698806725,1.3670017509572343
2,2.0,712.0,331.0,1692.0,235.0,4.545298959242652,245.9505889019204,0.5227404311262203,24.953234281719258,7741.497069626924,0.8264516244859494
3,3.0,116.0,131.0,796.0,1927.0,3.707689042736578,235.96455476128833,0.4763100157838632,15.633055104395268,7658.671013329584,0.7201114185927406
4,4.0,34.0,78.0,135.0,2723.0,3.6649841270526613,233.84382780016983,0.48361770305557533,15.096114543287799,7650.7957139726395,0.717272089482263
5,5.0,28.0,73.0,11.0,2858.0,3.6623327608168403,233.70669891317704,0.4957801629195721,14.73778142632559,7650.912128693842,0.7231575201543552
6,6.0,28.0,73.0,0.0,2869.0,3.661626327125937,233.70669891317704,0.4935207590298575,14.710326832069319,7650.912128693842,0.7232236574977786
7,7.0,28.0,73.0,0.0,2869.0,3.680112502055592,233.70669891317704,0.497083881755345,14.706097725357667,7650.912128693842,0.7280757335497706
8,8.0,28.0,73.0,0.0,2869.0,3.6893934721757735,233.70669891317704,0.4983410736284931,14.701889666616704,7650.912128693842,0.7305095727072923
9,9.0,28.0,73.0,0.0,2869.0,3.6935938281273373,233.70669891317704,0.4986850237557313,14.690212570093102,7650.912128693842,0.7317444650254851
10,10.0,28.0,73.0,0.0,2869.0,3.6921318722328467,233.70669891317704,0.4981222915230079,14.670383691952082,7650.912128693842,0.7316383266296839
11,11.0,28.0,73.0,0.0,2869.0,3.6861555709874327,233.70669891317704,0.4969099251852964,14.643082890862022,7650.912128693842,0.7304848627447034
12,12.0,28.0,73.0,0.0,2869.0,3.6765195856310653,233.70669891317704,0.49519589222581667,14.60978656032867,7650.912128693842,0.7284840540694767
13,13.0,28.0,73.0,0.0,2869.0,3.6641948686609513,233.70669891317704,0.4931310930130961,14.572122697693557,7650.912128693842,0.725862290781678
14,14.0,28.0,73.0,0.0,2869.0,3.650008679495322,233.70669891317704,0.4908367214152078,14.531590731968306,7650.912128693842,0.7228097518139509
