,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,2955.0,0.0,15.0,0.0,248.44826822899705,248.44826822899705,3.569099349717584,7988.047069301666,7988.047069301666,14.70270543496455
1,1.0,2955.0,0.0,15.0,0.0,9.079661646438286,248.44826822899705,0.7208884844606934,84.65706512111899,7988.047069301666,1.3564666185826624
2,2.0,2955.0,0.0,15.0,0.0,4.446690297366198,248.44826822899705,0.5320824402044201,23.388953600035688,7988.047069301666,0.8148693172526018
3,3.0,2955.0,0.0,15.0,0.0,3.7506848189626174,248.44826822899705,0.4992321805427615,15.633964933819781,7988.047069301666,0.7286510536181793
4,4.0,2955.0,0.0,15.0,0.0,3.660566897005053,248.44826822899705,0.49458925805705756,15.21492665028315,7988.047069301666,0.7138268106170392
5,5.0,2955.0,0.0,15.0,0.0,3.6072412202453146,248.44826822899705,0.49162892938316693,14.87976869603098,7988.047069301666,0.7056177660689332
6,6.0,2955.0,0.0,15.0,0.0,3.589389238802499,248.44826822899705,0.4907923564195914,14.797247065546655,7988.047069301666,0.7026741977784796
7,7.0,2955.0,0.0,15.0,0.0,3.5795070701148193,248.44826822899705,0.49030653197867474,14.74966817966846,7988.047069301666,0.7010546315164814
8,8.0,2955.0,0.0,15.0,0.0,3.5747455926364893,248.44826822899705,0.4900981987200392,14.728549650276767,7988.047069301666,0.700262257736696
9,9.0,2955.0,0.0,15.0,0.0,3.5720446394084124,248.44826822899705,0.48997727028235816,14.716725800876615,7988.047069301666,0.6998097913745641
10,10.0,2955.0,0.0,15.0,0.0,3.5705302979735833,248.44826822899705,0.4899108561473777,14.710301963796274,7988.047069301666,0.6995537363883582
11,11.0,2955.0,0.0,15.0,0.0,3.5696302770397135,248.44826822899705,0.4898698647892421,14.706561320452035,7988.047069301666,0.6994001876335164
12,12.0,2955.0,0.0,15.0,0.0,3.569089738056269,248.44826822899705,0.4898443172291668,14.704364456781741,7988.047069301666,0.6993071792412608
13,13.0,2955.0,0.0,15.0,0.0,3.568758154805706,248.44826822899705,0.4898277372068036,14.703041962802176,7988.047069301666,0.6992497304218411
14,14.0,2955.0,0.0,15.0,0.0,3.5685540860838096,248.44826822899705,0.4898169284165145,14.702240299264279,7988.047069301666,0.6992142524285813
