,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,2955.0,0.0,15.0,0.0,237.41215451152186,237.41215451152186,3.966012551734746,7690.310421917927,7690.310421917927,14.392700772549881
1,1.0,2601.0,171.0,183.0,15.0,10.47298227133643,238.34345192960342,1.0420398621846927,93.15060229605854,7672.755426769168,1.6426472163918235
2,2.0,683.0,423.0,1666.0,198.0,5.102733307529723,236.970724583413,0.7067901322898805,25.41741091112508,7443.194024503787,0.9626798536876587
3,3.0,101.0,122.0,883.0,1864.0,4.244406199043792,225.9257662964701,0.6567128408735199,16.08572666286025,7326.820567946336,0.8517694183535465
4,4.0,42.0,56.0,125.0,2747.0,4.2011410992230624,224.2501867737387,0.646280440228126,15.616974075055973,7322.828598000966,0.8459771900358026
5,5.0,36.0,50.0,12.0,2872.0,4.0399664550918715,224.104846842074,0.6153156530638934,15.062325472564956,7322.441578633313,0.8117420702218856
6,6.0,36.0,49.0,1.0,2884.0,4.069134835696529,224.104846842074,0.6214717400469223,15.001764172933568,7322.441578633313,0.8202230221577538
7,7.0,36.0,49.0,0.0,2885.0,4.094710332693175,224.104846842074,0.626084169808061,14.975157700417876,7322.441578633313,0.8271203547344416
8,8.0,36.0,49.0,0.0,2885.0,4.115979303721186,224.104846842074,0.6302225594457365,14.958219159790168,7322.441578633313,0.8328719588535989
9,9.0,36.0,49.0,0.0,2885.0,4.129565733816304,224.104846842074,0.6330483145769246,14.937968619649677,7322.441578633313,0.8367261132538103
10,10.0,36.0,49.0,0.0,2885.0,4.135591272202427,224.104846842074,0.6347034653866651,14.909274061743254,7322.441578633313,0.8387943395227254
11,11.0,36.0,49.0,0.0,2885.0,4.135171170925237,224.104846842074,0.6353524140246303,14.872424924249728,7322.441578633313,0.8393466104664585
12,12.0,36.0,49.0,0.0,2885.0,4.129695944888932,224.104846842074,0.6352300817533784,14.828751943320064,7322.441578633313,0.8387154140462738
13,13.0,36.0,49.0,0.0,2885.0,4.120493415984673,224.104846842074,0.6345403940117151,14.780196182370343,7322.441578633313,0.8372075338553228
14,14.0,36.0,49.0,0.0,2885.0,4.108703253308916,224.104846842074,0.6334593401009095,14.728524852262257,7322.441578633313,0.8350857975919718
