,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,2955.0,0.0,15.0,0.0,251.7011877166075,251.7011877166075,3.7930788685025782,8279.270865713503,8279.270865713503,14.792460664882366
1,1.0,2370.0,255.0,330.0,15.0,10.38080766224941,252.71063441211047,0.8981903481637226,97.48400749113398,8268.966684311225,1.5552541165705596
2,2.0,590.0,241.0,1794.0,345.0,4.91189514111662,246.13786716092645,0.6532494002645418,25.376936591507857,7762.304885956536,0.9157359458329284
3,3.0,106.0,134.0,591.0,2139.0,4.042876442987014,236.69394163236012,0.5981595077050509,16.19282392164288,7689.048376470906,0.7982488521295507
4,4.0,41.0,74.0,125.0,2730.0,3.870570191085954,235.71265855350973,0.5624228512200686,15.561481673808583,7681.158813998558,0.7623672138265353
5,5.0,38.0,64.0,13.0,2855.0,4.00654431558518,235.62568752533218,0.5922210232895523,15.473822178550932,7681.089580658452,0.7996263201779277
6,6.0,38.0,64.0,0.0,2868.0,4.063314190788733,235.62568752533218,0.6011602009032961,15.48096820259107,7681.089580658452,0.8144644523006426
7,7.0,38.0,64.0,0.0,2868.0,4.11220328249178,235.62568752533218,0.6099996742076081,15.51130882057495,7681.089580658452,0.826483511735651
8,8.0,38.0,64.0,0.0,2868.0,4.143260200061231,235.62568752533218,0.6161705689521477,15.52186949195079,7681.089580658452,0.8341779245316243
9,9.0,38.0,64.0,0.0,2868.0,4.161261285694328,235.62568752533218,0.6203652377275599,15.514811058990313,7681.089580658452,0.8387704617587972
10,10.0,38.0,64.0,0.0,2868.0,4.168800749411292,235.62568752533218,0.6230112541035956,15.491704984337002,7681.089580658452,0.8409221608276878
11,11.0,38.0,64.0,0.0,2868.0,4.168497780796611,235.62568752533218,0.6245106909052043,15.4562379617893,7681.089580658452,0.8412543700221476
12,12.0,38.0,64.0,0.0,2868.0,4.162461450617554,235.62568752533218,0.6251767605512538,15.41179151506594,7681.089580658452,0.8402576060878845
13,13.0,38.0,64.0,0.0,2868.0,4.1523896347074345,235.62568752533218,0.625255382837375,15.361296937169513,7681.089580658452,0.8383228256930038
14,14.0,38.0,64.0,0.0,2868.0,4.1396123108565215,235.62568752533218,0.6249372294656301,15.307103385751915,7681.089580658452,0.8357549161677175
